,date,distance,id,latitude,longitude,place_id,post_id,text,uid
44,1537476973.0,7160654,125519_9386,0.0,0.0,0.0,9386.0,"Сезон натуральных осенних цветов в самом разгаре!<br>.<br>.<br>С наступлением холодов хочется быть поближе к природе, почувствовать её прохладу, тёплый ветер, ощутить приятное дуновение...<br>.<br>.<br>Мы ждём Вас за переменами, за настроением и за тёплыми улыбками!<br>.<br>.<br>Место дислокации прежнее: СПб, 🚇 Маяковская, пр. Невский, д.71, ТЦ «Невский Атриум», 3 этаж. <br>.<br>.<br>Предварительная запись по телефону 6️⃣0️⃣0️⃣-5️⃣1️⃣-3️⃣5️⃣<br>.<br>.<br>#спб #маяковская #питер #невскийпроспект #омбре #балаяж ",125519.0
45,1537476970.0,7160654,190779_12002,0.0,0.0,0.0,12002.0,"Случилось, сезон 2018 🎤🎤🎤  done ☑️ лето это жаль, что только раз в год, олечка на пляж в субботу пойдёт 😂😂😂 лето это никуда не пора, лето - жара, жара, жара 👙🌶🎀🍾🌴♥️🐠 #конецсезона #ольгита #япридусюдавсубботу #ялюблюсвоюработу #летоэтожара #всякультуравпитере #эрмитаж #wtf #olguita #ольгита #спб #",190779.0
46,1537476948.0,7160654,83133191_2737,0.0,0.0,0.0,2737.0,"•Бог не творит чудеса через талантливых и способных. Бог творит чудеса через верных. <br>• разрушения приходят изнутри:  семьи, дружба, церкви рушатся, не потому что кто то пришёл и разрушил, а потому что кто то оказался неверным<br>• Верность намного больше, чем просто качественно выполнять порученные задания<br>•Если хочешь быть успешным и благословенным, выбирай быть верным! И не забывай,  верность основывается на любви!! P.S. Спасибо за фотки тем, кто фоткал😂 #рожденадлябольшихчудес #изсибирившвейцарию #thebridgespb",83133191.0
47,1537476915.0,7160654,676951_11390,0.0,0.0,0.0,11390.0,dorzhinimaeva ❤️ привееееееееет........ ,676951.0
48,1537476875.0,7160654,141106438_5099,0.0,0.0,0.0,5099.0,"Настя,давай дома посидим ,нет!!мы идём гулять )))ну вот )))",141106438.0
49,1537476839.0,7160654,3812982_3385,0.0,0.0,0.0,3385.0,"#ЧемпионатПароходов набирает обороты. К нам присоединилась еще одна компания «Смольнинское пароходство». Итого, на данный момент в турнире заявлены команды от следующих судоходных компаний: astra_marine_boats, neva.travel, [id249780252|nev_class] smolpar , компания «Белые ночи».<br>Решила открыть отдельный аккаунт Чемпионата Пароходов championsneva, где буду выкладывать всё — как идет подготовка, как прошла жеребьевка, итоги игр, разборы матчей.<br>Ну, и попробую эту историю сделать ежегодной. Поднимем корпоративный дух Невы.<br>Флот мы или не флот..<br>#морячка #чемпионатпароходов #нева #реканева #питер #разводмостов #футболнаневе #футболсредикораблей ",3812982.0
50,1537476610.0,7160654,27548206_10624,0.0,0.0,0.0,10624.0,"Ну все регистрация пройдена<br>Завтра вылеживаем форму и в субботу примерно в 2-3 часа мой выход<br>Посмотреть онлайн можно на getbigtv <br>Ребятки, мне нужна поддержка🤗 я пропустила 2 сезона и сейчас чувство что я впервые выхожу🤦‍♀️<br>Но как говорится #кайфуй <br>И еще плов 😂 меня мотивирует плов 😆<br>.<br>#хочубытьсухойкактварь",27548206.0
51,1537476583.0,7160654,208687_2134,0.0,0.0,0.0,2134.0,Льняная💛 ,208687.0
52,1537476526.0,7160654,264823268_2264,0.0,0.0,0.0,2264.0,"Прогулялась по Невскому с любимым капучино, забежала в галерею по своим делам, в блэкстарбургере не ела, сейчас нельзя 😶 Потом пошла к мамульке на работку, сделала ламинирование ресниц и брови, и мы с Ма поехали гулять по вечернему Питеру ❤ Погода солнечная и теплая, не помню, чтоб в конце сентября было больше 20 градусов ☹ Питер ты ли это 😍 #санктпетербург#мойпитер#салонкрасотыларисыказьминой#салонларисыказьминой#mylife",264823268.0
53,1537476516.0,7160654,20657379_10446,0.0,0.0,0.0,10446.0,"⠀<br>⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ ⠀ 💭 МЫСЛИ В СЛУХ 💭<br>⠀<br>Быстро и легко можно получить только пиз***ей. Для остального наберись терпения 🙌🏼<br>⠀<br>Приятных снов, котятки😘 ",20657379.0
