,address,checkins,city,country,created,distance,group_id,group_photo,icon,latitude,longitude,pid,place_id,title,type,updated
164,улица Ярославская 2,3,,,1482267996,41,,,https://vk.com/images/places/place.png,59.941536,30.386439,16937882,16937882,"Аптекарская набережная, 20",21,1486142795.0
165,Кирочная ул. дом 64,3,2.0,1.0,1532575167,73,29872863.0,https://pp.userapi.com/1w19PQVvMkzDqMFPPeo7rishCMhZTMUsARnQXg/MENvQdbRFFs.jpg?ava=1,https://vk.com/images/places/place.png,59.940713,30.386431,3473848,3473848,"Школа рисования ""АРТерия""",21,1493233119.0
166,,101,,,1440931993,144,,,https://vk.com/images/places/place.png,59.940133,30.385863,12744597,12744597,"Приморское шоссе, Комарово, Санкт-Петербург, Россия, 197733",21,1537106459.0
167,,9,,,1480437413,113,,,https://vk.com/images/places/place.png,59.940632,30.385473,16758556,16758556,Конногвардейский бульвар 21,21,1530218319.0
168,Кирочная 64,18,,,1441915419,143,,,https://vk.com/images/places/place.png,59.941007,30.384521,12851320,12851320,"Резиденция красоты ""Versailles""",21,1537161771.0
169,,3,,,1440511297,139,,,https://vk.com/images/places/place.png,59.940161,30.385957,12700196,12700196,улица Балчуг 1 Москва Россия 115035,21,1507306040.0
170,улица Костромская 4,14,,,1405783458,164,,,https://vk.com/images/places/place.png,59.94254,30.388633,9074710,9074710,442 Окружной Военный Клинический Госпиталь,21,1528543563.0
171,"Суворовский проспект, 63А",8,,,1472744706,164,,,https://vk.com/images/places/place.png,59.942545,30.385419,15950785,15950785,442-й Военный Окружной госпиталь,21,1529484103.0
172,"Костромская ул., 4",7,,,1431282566,163,,,https://vk.com/images/places/place.png,59.94224,30.389291,11797868,11797868,костромская улица 4,21,1520673262.0
173,улица Кирочная,4,,,1399438537,160,,,https://vk.com/images/places/place.png,59.93986,30.386821,8469394,8469394,Генезис центр репродукции,21,1533193209.0
174,"Новгородская ул., 24А",1,,,1382260443,162,,,https://vk.com/images/places/place.png,59.942536,30.388583,6722760,6722760,ВМГ 442,21,1417807985.0
175,"Суворовский просп., 63",15,,,1406929421,195,,,https://vk.com/images/places/place.png,59.942124,30.383928,9185605,9185605,суворовский проспект дом 63,21,1524377913.0
176,улица Новгородская,22,,,1421503377,211,,,https://vk.com/images/places/place.png,59.940896,30.390732,10722041,10722041,Бизнес центр Базель,21,1535136871.0
177,улица Костромская 4,7,,,1498296404,188,,,https://vk.com/images/places/place.png,59.942708,30.388893,18451745,18451745,Ул. Костромская 4 Родильный дом 13,21,1532160063.0
178,,1,,,1504089387,179,,,https://vk.com/images/places/place.png,59.940936,30.390161,18960637,18960637,"Тверская ул., 10 Студия Дыхание Тела",21,1504089395.0
179,"Новгородская улица, 23",2,,,1504515418,189,,,https://vk.com/images/places/place.png,59.940857,30.390306,18998352,18998352,супермаркет Лента,21,1537130212.0
180,улица Новгородская,3,,,1471272335,205,,,https://vk.com/images/places/place.png,59.941049,30.390679,15786793,15786793,Базель,21,1507560149.0
181,Суворовский проспект 50-52,210,,,1367310255,294,,,https://vk.com/images/places/place.png,59.943708,30.384807,5344482,5344482,Арбитражный суд города Санкт-Петербурга и Ленинградской области,21,1537183089.0
182,"СПб, Новгородская улица дом.23, БЦ ""Базель"", 3 этаж, офис 344, Школа танцев ""Экспромт""",3,2.0,1.0,1532558067,206,202876.0,https://pp.userapi.com/c824603/v824603560/182308/R7TIW5WPfGM.jpg?ava=1,https://vk.com/images/places/place.png,59.94079,30.39059,2829399,2829399,"Школа танцев ""Экспромт"", танцевальная студия!",21,1519569099.0
183,"СПб, Новгородская ул., 23, БЦ ""Базель"", центральный вход, 3 этаж., Школа танцев ""Экспромт""",1,2.0,1.0,1532558736,206,10566094.0,https://pp.userapi.com/c636516/v636516149/1cc99/N1MfzLNDDMY.jpg?ava=1,https://vk.com/images/places/place.png,59.94079,30.39059,2177897,2177897,"Свадебный танец жениха и невесты, постановка",21,1374245454.0
184,"СПб, Новгородская ул., дом 23, БЦ ""Базель"", 3 этаж, офис 344, Школа танцев ""Экспромт""",1,2.0,1.0,1532558508,206,10554095.0,https://pp.userapi.com/c845220/v845220337/f854c/HrptI2miCVw.jpg?ava=1,https://vk.com/images/places/place.png,59.94079,30.39059,15771151,15771151,"Танцы для детей школа! Детские танцы, кружки!",21,1481576131.0
185,"новгородская 23, чернышевская",1,2.0,1.0,1532558652,206,13035133.0,https://pp.userapi.com/c840539/v840539993/21b94/bgOMwMbQUIQ.jpg?ava=1,https://vk.com/images/places/place.png,59.94079,30.39059,6210244,6210244,PILIM nail studio,21,1524515236.0
186,"СПб, Новгородская улица дом.23, БЦ ""Базель"", 3 этаж, офис 344, Школа танцев ""Экспромт""",1,2.0,1.0,1532558709,206,10855713.0,https://pp.userapi.com/c850528/v850528083/913e/rk2drKPVDE4.jpg?ava=1,https://vk.com/images/places/place.png,59.94079,30.39059,15771146,15771146,"ШКОЛА ТАНЦА ЖИВОТА. Восточный танец, студия.",21,1509146198.0
187,"Дегтярный пер., 11",104,,,1444140814,301,,,https://vk.com/images/places/place.png,59.939054,30.383978,13058524,13058524,Невская ратуша,21,1536913272.0
188,улица Новгородская,3,,,1471194275,213,,,https://vk.com/images/places/place.png,59.941443,30.39085,15777641,15777641,Teak house,21,1505721866.0
189,Дегтярный переулок,1,,,1535986627,216,,,https://vk.com/images/places/place.png,59.939361,30.38662,21653277,21653277,Комитет по промышленной политике и инновациям СПб,21,1535986630.0
190,улица Новгородская 26,3,,,1424103690,224,,,https://vk.com/images/places/place.png,59.941634,30.391007,11018746,11018746,Soleans travel,21,1506410047.0
191,Дегтярный переулок 28,6,,,1390612287,231,,,https://vk.com/images/places/place.png,59.939912,30.383933,7535967,7535967,Getto Centr,21,1461098296.0
192,улица Кавалергардская,25,,,1439408102,282,,,https://vk.com/images/places/place.png,59.942841,30.382995,12588502,12588502,"Санкт-Петербург,Невский просперк дом 60",21,1532118818.0
193,Дегтярный переулок 28,1,,,1497610360,229,,,https://vk.com/images/places/place.png,59.939964,30.383882,18397001,18397001,Дегтярный переулок 28,21,1530566442.0
194,Наб. Реки Фонтанки 49А,79,,,1452374842,345,,,https://vk.com/images/places/place.png,59.941599,30.380853,13825897,13825897,"Александрийский театр, Новая Сцена",21,1535722112.0
195,улица Кирочная 55,3,,,1498152616,252,,,https://vk.com/images/places/place.png,59.941299,30.382482,18442065,18442065,Моховая улица 30,21,1537130130.0
196,"Дегтярный пер., 1/8",1,2.0,1.0,1532564669,258,31059804.0,https://pp.userapi.com/c625521/v625521014/1e3c0/KPKRbA4RJg0.jpg?ava=1,https://vk.com/images/places/place.png,59.939956,30.383233,2748825,2748825,Мастерская МатЧасть,21,1516826630.0
197,Дегтярный переулок 26,1,,,1505044708,259,,,https://vk.com/images/places/place.png,59.940387,30.382739,19041942,19041942,"Pereulok Degtyarnyy 7, 191144 Sankt Petersburg",21,1523722702.0
198,Суворовский 51,6,,,1482522529,282,,,https://vk.com/images/places/place.png,59.942841,30.382995,16959943,16959943,KiDo restaurant,21,1518879267.0
199,Суворовский проспект 63,4,,,1394091772,278,,,https://vk.com/images/places/place.png,59.942593,30.38274,7910084,7910084,Carita,21,1493423388.0
200,улица Кавалергардская,2,,,1448530743,281,,,https://vk.com/images/places/place.png,59.94282,30.382989,13469359,13469359,"Смольный проезд, 1",21,1450443024.0
201,,3,,,1477380157,295,,,https://vk.com/images/places/place.png,59.943316,30.383567,16433621,16433621,Суворовский проспект 50-52,21,1528534438.0
202,"Кавалергардская ул., 4",9,,,1385157181,313,,,https://vk.com/images/places/place.png,59.943241,30.382952,7010189,7010189,кавалергардская 4,21,1496835193.0
203,"Суворовский проспект, 50-52",1,,,1534746025,295,,,https://vk.com/images/places/place.png,59.943642,30.384513,21587356,21587356,Арбитражный суд,21,1534746028.0
204,"Суворовский проспект, 61",4,,,1502881164,306,,,https://vk.com/images/places/place.png,59.94171,30.381578,18850805,18850805,Франческо,21,1531044798.0
205,,9,,,1467386953,319,,,https://vk.com/images/places/place.png,59.938655,30.384766,15378009,15378009,"Санкт-питербург,",21,1534586719.0
206,Суворовский проспект 50-52,6,,,1484771256,318,,,https://vk.com/images/places/place.png,59.943851,30.384409,17179725,17179725,Арбитражный суд Санкт-Петербурга,21,1531385595.0
207,Суворовский проспект 50,2,,,1490259886,308,,,https://vk.com/images/places/place.png,59.943818,30.384697,17745687,17745687,"Санкт-петербург, суворовский проспект",21,1529773272.0
208,Суворовский 43,8,,,1377771373,331,,,https://vk.com/images/places/place.png,59.938841,30.383649,6310526,6310526,Амстердам салон красоты,21,1511129818.0
209,,153,,,1496941575,442,,,https://vk.com/images/places/place.png,59.940101,30.379444,18341506,18341506,Финский залив п.Репино,21,1537183059.0
210,Суворовский проспект,1,,,1532720248,320,,,https://vk.com/images/places/place.png,59.943924,30.384661,21461556,21461556,Agios Nikolaos Creece,21,1532720254.0
211,улица Моисеенко 14,7,,,1408269005,338,,,https://vk.com/images/places/place.png,59.938735,30.38376,9312567,9312567,"АОДК ""Невская ратуша"" - SITE",21,1532279817.0
212,"Суворовский проспект, 42",14,,,1483890038,370,,,https://vk.com/images/places/place.png,59.94145,30.380385,17084015,17084015,Кит Бургер,21,1525376420.0
213,,3,,,1402704253,340,,,https://vk.com/images/places/place.png,59.938505,30.384533,8784217,8784217,Ночной питер,21,1510480997.0
214,,1,,,1485472689,349,,,https://vk.com/images/places/place.png,59.938472,30.384297,17253184,17253184,Дегтярный переулок 11 Б,21,1527594572.0
215,Дедовичи,1,,,1533899778,355,,,https://vk.com/images/places/place.png,59.938111,30.386504,21543481,21543481,Покровский храм,21,1533899781.0
216,"Санкт-Петербург, Олега Дудича",2,,,1481850264,361,,,https://vk.com/images/places/place.png,59.941645,30.380575,16897744,16897744,"Купчино, Олега Дудича",21,1523210409.0
217,Суворовский пр. 40,10,2.0,1.0,1532571583,388,43893947.0,https://pp.userapi.com/c625528/v625528928/6d30/_zf9KJQw9DY.jpg?ava=1,https://vk.com/images/places/place.png,59.941344,30.380044,3883917,3883917,Penny nails,21,1477745494.0
218,Заячий переулок 4к3,15,,,1389549854,420,,,https://vk.com/images/places/place.png,59.940201,30.379792,7424031,7424031,Ресторан le mareé,21,1524254206.0
