,categories,checkinsCount,createdAt,id,lat,lng,name,usersCount,main_categorie
26768,['Smoke Shop'],0,,576ff499498e95e8e99ef5ec,59.99811243487247,29.76090347444576,Кальянный клуб 'FRIENDS',0,Shop & Service
26782,['Office'],0,,57e51013498e418f6a6c6b93,59.995566,29.764122,Кронштадтский вестник,0,Professional & Other Places
26789,['Residential Building (Apartment / Condo)'],0,,51a8ef68498e5a9d31d6c06c,59.9952813459607,29.763473528468285,улица инге 2/4,0,Residence
26793,['Residential Building (Apartment / Condo)'],0,,500a93ffe4b02a36e9dc53d2,59.99422130893662,29.76137671297528,"Ул Инге, 11",0,Residence
26795,['Housing Development'],0,,54778503498eaea3bea10993,59.99573939136498,29.761468074241623,кронштадская 14,0,Residence
26814,['Salon / Barbershop'],0,,53779093498e4a4600f10875,59.99743670510671,29.764802920160644,"Салон красоты ""Париж""",0,Shop & Service
26820,['Asian Restaurant'],0,,51e17594498ee22b47bb0e37,59.9967664525499,29.762749956630227,Китайский,0,Food
26825,['Dance Studio'],0,,51b0939b498e0d49a8ead638,59.995097090528475,29.761666242820834,"Студия латино - американского танца ""Cubana""",0,Arts & Entertainment
26842,['Residential Building (Apartment / Condo)'],0,,570e3fd1498efe0918ad7173,59.99718499037961,29.763699106962292,У Волосатого,0,Residence
26843,"[""Dentist's Office""]",0,,573c9dc9cd10ba336cdd4cdf,59.997509,29.762535,Стоматология Русь Дент,0,Professional & Other Places
26851,['Church'],0,,4cd68b65aeb1224bb0f828ff,59.99198838219515,29.777092663825147,Kronstadt Naval Cathedral (Морской Никольский собор),0,Professional & Other Places
26881,['Church'],0,,508e5895e4b0bfcf9a737ec6,60.00569341323139,29.746702511520983,Часовня Иоана Кронштадтского,0,Professional & Other Places
26903,['Pizza Place'],0,,4eda7457f9abeea3d9b748b0,59.9975500645924,29.766015744585427,L’Americano,0,Food
26960,['Church'],0,,4fe9e9cee4b053591e0a4d08,59.84099599785811,29.8787393143233,Церковь святой мученицы Царицы Александры,0,Professional & Other Places
26998,[],0,,507ce540e4b03a2c136e46d9,60.00036054904004,29.761784639251694,Столовая ВИТУ,0,
26999,"[""Dentist's Office""]",0,,51e7f954498e648855f2ea64,60.00664520263672,29.76405143737793,улица Зосимова д.13,0,Professional & Other Places
27102,['Historic Site'],0,,4e35725ae4cd9aba7cc4594b,60.02403217705131,29.819065707798046,Форт 3-й Северный,0,Arts & Entertainment
27157,['Gym'],0,,525c266011d27eb4443adb50,60.01174461257919,29.769867595315503,Качалка В Пту,0,Outdoors & Recreation
27352,['Pier'],0,,50154324e4b0649cc24a2ed3,59.98598824374347,29.768788556381704,Причал Кронштадт,0,Travel & Transport
27373,['Emergency Room'],0,,4ff90e08e4b0d48ad393362f,59.99405804698161,29.784288438914892,скорая помощь,0,Professional & Other Places
27374,['Factory'],0,,576aa5df498ea7d3479e426b,59.989421,29.785666,"ООО ""МедПол""",0,Professional & Other Places
27378,['Residential Building (Apartment / Condo)'],0,,566d3209498e6356a808780e,59.988851788221496,29.78738025947612,Улица Аммермана 36,0,Residence
27382,['Residential Building (Apartment / Condo)'],0,,52074f3b11d22e8e037ddf51,59.991983340960445,29.791622855596206,"Мануильского, 1/8",0,Residence
27407,['Military Base'],0,,5260030711d2e7972f208fba,59.98773763264337,29.771293271965238,86 Райончик,0,Professional & Other Places
27408,['Residential Building (Apartment / Condo)'],0,,51005600e4b0cd77a312b015,59.98830281152496,29.77447440997676,Петровская 13,0,Residence
27420,['Historic Site'],0,,523c319311d22e15959268b8,59.98708664938138,29.771251286112385,60 Фунтовое Орудие,0,Arts & Entertainment
27431,['Gym / Fitness Center'],0,,4f6ddcd3e4b01d94fd0346ec,59.98846054077148,29.76816368103027,"Сауна, парная Фортеция",0,Outdoors & Recreation
27438,['Playground'],0,,5734c8c4498eb366cb08d6c8,59.989378,29.773303,площадка,0,Outdoors & Recreation
27440,['Bus Stop'],0,,5213fba711d28245d178835b,59.986662,29.775874,Конечная остановка,0,Travel & Transport
27454,['Gym'],0,,57f3f22a498e0ec04e2ba13a,59.986203989755246,29.776864299857966,Krone crossfit,0,Outdoors & Recreation
27489,['Capitol Building'],0,,513842b2e4b04d8c17319f23,59.98772343363774,29.775322205232847,Архив Балтийска Таможня,0,Professional & Other Places
