address;longitude;latitude;addr_street;addr_number;addr_building;addr_letter;addr_district;comm_type;comm_num;comm_room_num;data_series;data_buildingdate;data_reconstructiondate;data_buildingarea;data_livingarea;data_nonolivingarea;data_stairs;data_storeys;data_residents;data_mansardarea;eng_heatingcentral;eng_heatingauto;eng_heatingfire;eng_hotwater;eng_hotwatergas;eng_hotwaterwood;eng_electro;eng_gascentral;eng_gasnoncentral;eng_refusechute;flat_type;flat_num;flat_room_num;internal_num;lift_exploitfromdate;lift_reconstructiondate;lift_repairdate;outclean_all;param_crdate;param_ukname;param_failure;repair_year;repair_job;rfc_shaftcount;roof_metalarea;seng_liftcount;seng_pzu;special_basementarea;number
г. Кронштадт Советская ул. 41;29.773402;59.994553;Советская ул.;41;;А;Кронштадский;2 комн., 3 комн.;0, 2;0, 6;Индивидуальный;1786;1980;2063.62988281;1099.40002441;562.299987793;3;3;69;;1;0.0;0.0;1;0.0;0.0;1;1;0.0;0.0;1 комн., 2 комн., 3 комн.;6, 2, 8;6, 4, 24;;;;;3492;16.03.2010;"ООО ""ЖКС Кронштадтского района""";0.0;"2006; 2011; 2011; 2011; 2014";"Благоустройство придомовой территории; Благоустройство придомовой территории; Благоустройство придомовой территории; Разные работы; Ремонт конструкций и замена покрытий крыш";;1154;;3;;6489
г. Кронштадт Гражданская ул. 25;29.761051;59.999093;Гражданская ул.;25;;А;Кронштадский;;;;Индивидуальный;1917;1966;645.5;583.5;;1;3;32;;1;0.0;0.0;1;0.0;0.0;1;1;0.0;0.0;2 комн.;12;24;;;;;635;12.04.2009;"ООО""ЖКС Кронштадтского района""";0.0;"2007; 2007; 2007; 2008; 2008; 2008; 2008; 2008";"Благоустройство придомовой территории; Ремонт и восстановление озеленения; Ремонт или замена системы горячего водоснабжения; Ремонт или замена системы канализования и водоотведения; Ремонт или замена системы отопления; Ремонт или замена системы холодного водоснабжения; Ремонт конструкций и замена покрытий крыш; Ремонт фасадов без утепления";;365;;1;;6495
г. Кронштадт Ленина пр. 5;29.767465;59.999989;Ленина пр.;5;;В;Кронштадский;2 комн., 3 комн., 4 комн.;0, 3, 1;0, 9, 4;Индивидуальный;1953;;2398.80004883;2135;;3;4;391;;1;0.0;0.0;1;0.0;0.0;1;1;0.0;0.0;2 комн., 3 комн., 4 комн.;8, 18, 2;16, 54, 8;;;;;2033;16.03.2010;"ООО""ЖКС Кронштадтского района""";0.0;"2004; 2004; 2006";"Ремонт конструкций и замена покрытий крыш; Ремонт фасадов без утепления; Ремонт фасадов без утепления";;986;;3;773;6529
г. Кронштадт Велещинского ул. 7/14;29.762138;59.993716;Велещинского ул.;7/14;;А;Кронштадский;2 комн., 3 комн., 4 комн., 5 комн.;0, 0, 0, 0;0, 0, 0, 0;типовой;1962;;1837;1651.90002441;0.0;2;5;90;;1;0.0;0.0;1;0.0;0.0;1;1;0.0;0.0;1 комн., 2 комн., 3 комн., 4 комн., 5 комн.;20, 10, 10, 0, 0;20, 20, 30, 0, 0;;;;;241;12.04.2009;"ООО""ЖКС Кронштадтского района""";0.0;2011;Ремонт конструкций и замена покрытий крыш;;564;;2;345;6882
г. Кронштадт Советская ул. 5;29.786015;59.991961;Советская ул.;5;;А;Кронштадский;3 комн., 4 комн.;0, 1;0, 4;Индивидуальный;1870;1970;452.130004883;387.100006104;;1;3;7;;1;0.0;0.0;1;0.0;0.0;1;1;0.0;0.0;1 комн., 2 комн., 3 комн., 4 комн.;1, 1, 2, 1;1, 2, 6, 4;;;;;884;14.12.2009;"ООО ""ЖКС Кронштадтского района""";0.0;"2005; 2011";"Благоустройство придомовой территории; Ремонт конструкций и замена покрытий крыш";;310;;1;246;6953
г. Кронштадт Петровская ул. 10к1;29.775513;59.987357;Петровская ул.;10;1;А;Кронштадский;2 комн., 3 комн., 4 комн., 5 комн., 6 комн., 7 комн.;0, 0, 0, 0, 0, 0;0, 0, 0, 0, 0, 0;Индивидуальный;1976;;3918.89990234;3399.10009766;;4;5;158;;1;0.0;0.0;1;0.0;0.0;1;1;0.0;1;1 комн., 2 комн., 3 комн., 4 комн., 5 комн., 6 комн., 7 комн.;12, 38, 14, 0, 0, 0, 0;12, 76, 42, 0, 0, 0, 0;;;;;1141;12.04.2009;"ООО ""ЖКС Кронштадтского района""";0.0;2006;Ремонт конструкций и замена покрытий крыш;4;;;4;1098;7017
г. Кронштадт Гражданская ул. 11;29.765327;59.998175;Гражданская ул.;11;;А;Кронштадский;;;;Индивидуальный;1900;1973;1210.30004883;962.799987793;126.699996948;2;3;38;;1;0.0;0.0;1;0.0;0.0;1;1;0.0;0.0;2 комн., 3 комн.;8, 6;16, 18;1;;;;907;12.04.2009;"ООО""ЖКС Кронштадтского района""";0.0;;;;605;;;303;7038
г. Кронштадт Восстания ул. 64;29.774229;59.998193;Восстания ул.;64;;А;Кронштадский;2 комн.;0;0;Индивидуальный;1970;;2783.19995117;2521.69995117;;3;5;149;;1;0.0;0.0;1;0.0;0.0;1;1;0.0;0.0;1 комн., 2 комн., 3 комн.;10, 45, 5;10, 90, 15;;;;;774;12.04.2009;"ООО""ЖКС Кронштадтского района """;0.0;"2007; 2008; 2008";"Благоустройство придомовой территории; Ремонт и восстановление озеленения; Ремонт конструкций и замена покрытий крыш";;;;3;673.289978027;7160
г. Кронштадт Красная ул. 17;29.773852;59.990138;Красная ул.;17;;Б;Кронштадский;;;;Индивидуальный;1900;1967;756.799987793;511.200012207;177.399993896;1;3;29;;1;0.0;0.0;1;0.0;0.0;1;1;0.0;0.0;2 комн., 3 комн.;6, 3;12, 9;1;;;;617;12.04.2009;"ООО""ЖКС Кронштадтского района""";0.0;"2005; 2011; 2012; 2012; 2012; 2012; 2012; 2013";"Благоустройство придомовой территории; Ремонт или замена системы горячего водоснабжения; Ремонт или замена системы канализования и водоотведения; Ремонт или замена системы отопления; Ремонт или замена системы холодного водоснабжения; Ремонт или замена системы электроснабжения; Ремонт конструкций и замена покрытий крыш; Ремонт фасадов без утепления";;434;;1;;7196
г. Кронштадт Ленина пр. 38;29.76185;59.991093;Ленина пр.;38;;А;Кронштадский;3 комн.;0;0;Индивидуальный;1900;1969;1296.80004883;777.200012207;336.299987793;2;3;43;;1;0.0;0.0;1;0.0;0.0;1;1;0.0;0.0;2 комн., 3 комн., 4 комн.;2, 6, 2;4, 18, 8;2;;;;511;16.03.2010;"ООО ""ЖКС Кронштадтского района""";0.0;"2011; 2011; 2013";"Благоустройство придомовой территории; Ремонт конструкций и замена покрытий крыш; Ремонт фасадов без утепления";;911;;2;;7246
